course_id,title,category,language,subtitles,price,instructor_id,length,difficulty_level,created_on,last_updated_on,number_of_videos,number_of_quizzes,view_count,average_watch_duration,certification_available,completion_rate,bookmark_count
39766,Fitness Coaching: Becoming a Personal Trainer,Health,English,yes,81,364202,20:56,Beginner,02-10-2024,10-01-2025,98,9,3212,11:45,yes,35.69,408
31874,Public Health: Foundations and Future Trends,Health,English,yes,158,767050,10:40,Beginner,19-11-2024,16-01-2025,36,19,5627,05:56,yes,49.76,125
20671,Anatomy and Physiology: Understanding the Human Body,Health,Spanish,yes,133,871007,05:16,Advanced,24-07-2024,12-01-2025,19,8,2138,12:52,yes,41.45,34
93568,Yoga and Mindfulness for Wellness,Health,French,yes,75,764597,09:32,Advanced,22-12-2024,05-01-2025,63,6,4453,01:27,yes,49.16,55
96323,Global Health and Epidemiology,Health,English,yes,121,424379,12:48,Beginner,21-12-2023,09-01-2025,15,2,4644,03:35,yes,20.19,49
89472,Introduction to Cybersecurity,Technology and Programming,English,no,200,278667,19:03,Beginner,14-02-2022,16-01-2025,24,10,4641,09:27,yes,27.64,309
69513,Introduction to Medical Terminology,Health,English,yes,78,220585,18:37,Intermediate,11-02-2021,12-01-2025,38,5,6379,06:34,yes,86.36,46
56446,Advanced Data structures through C++,Technology and Programming,English,yes,199,220585,08:54,Intermediate,02-11-2020,06-01-2025,38,7,7628,19:10,no,83.41,143
20195,Advanced Data structures through C#,Technology and Programming,English,yes,10,295438,20:54,Intermediate,13-10-2022,13-01-2025,67,6,3904,03:54,yes,66.99,226
59716,Advanced Data structures through Java,Technology and Programming,English,yes,199,173468,18:48,Intermediate,19-03-2021,01-01-2025,36,15,7254,16:21,yes,49.92,315
71838,Data structures through Java,Technology and Programming,English,yes,123,871007,20:53,Advanced,12-08-2020,05-01-2025,97,12,2858,12:13,yes,38.26,140
78724,Special Education: Understanding Disabilities,Education,English,no,193,668495,01:43,Advanced,11-11-2024,07-01-2025,41,20,1159,14:45,no,41.11,176
72387,Culturally Responsive Teaching,Education,English,yes,107,536923,14:05,Intermediate,18-12-2023,14-01-2025,42,11,3844,08:23,no,30.79,80
54046,AI and Deep Learning with TensorFlow,Technology and Programming,English,yes,66,632410,07:54,Beginner,19-07-2022,16-01-2025,58,11,886,07:05,no,22.7,315
93178,Gamification in Education,Education,English,no,151,525207,15:09,Intermediate,09-06-2020,11-01-2025,28,13,4663,05:14,yes,23.33,34
86724,Educational Psychology: Enhancing Learning Outcomes,Education,English,yes,33,668495,06:18,Advanced,19-03-2022,09-01-2025,70,13,2851,07:01,no,25.63,364
42258,Developing Curriculum for K-12 Education,Education,English,yes,27,370558,04:49,Intermediate,21-10-2021,07-01-2025,80,11,3031,04:34,no,29.65,4
23531,Childhood Education Fundamentals,Education,English,yes,53,742878,02:25,Beginner,27-07-2021,06-01-2025,31,1,7785,04:54,yes,78.94,427
